datum,ritnummer,haltenaam,haltevolgorde,aantal uitstappers,aantal instappers,time,passenger_count,percentage_out
1-9-2017,1001,Centraal Station,0,0,1,371,0,0
1-9-2017,1001,Vaartsche Rijn,2,0,0,375,1,0.0
1-9-2017,1001,Galgenwaard,3,0,0,376,1,0.0
1-9-2017,1001,Kromme Rijn,4,0,0,378,1,0.0
1-9-2017,1001,Padualaan,5,0,0,379,1,0.0
1-9-2017,1001,Heidelberglaan,6,0,0,380,1,0.0
1-9-2017,1001,UMC,7,0,0,381,1,0.0
1-9-2017,1001,WKZ,8,1,0,382,1,1.0
4-9-2017,1001,Centraal Station,0,0,6,371,0,0
4-9-2017,1001,Vaartsche Rijn,2,1,0,377,6,0.16666666666666666
4-9-2017,1001,Galgenwaard,3,1,1,378,5,0.2
4-9-2017,1001,Kromme Rijn,4,1,0,380,5,0.2
4-9-2017,1001,Padualaan,5,0,0,382,4,0.0
4-9-2017,1001,Heidelberglaan,6,2,0,383,4,0.5
4-9-2017,1001,UMC,7,2,0,385,2,1.0
4-9-2017,1001,WKZ,8,0,0,386,0,0
5-9-2017,1001,Centraal Station,0,0,7,371,0,0
5-9-2017,1001,Vaartsche Rijn,2,1,0,376,7,0.14285714285714285
5-9-2017,1001,Galgenwaard,3,1,0,377,6,0.16666666666666666
5-9-2017,1001,Kromme Rijn,4,1,0,379,5,0.2
5-9-2017,1001,Padualaan,5,0,0,381,4,0.0
5-9-2017,1001,Heidelberglaan,6,0,0,382,4,0.0
5-9-2017,1001,UMC,7,4,0,383,4,1.0
5-9-2017,1001,WKZ,8,0,0,384,0,0
7-9-2017,1001,Centraal Station,0,0,5,370,0,0
7-9-2017,1001,Vaartsche Rijn,2,1,0,376,5,0.2
7-9-2017,1001,Galgenwaard,3,0,0,377,4,0.0
7-9-2017,1001,Kromme Rijn,4,1,0,379,4,0.25
7-9-2017,1001,Padualaan,5,0,0,380,3,0.0
7-9-2017,1001,Heidelberglaan,6,1,0,382,3,0.3333333333333333
7-9-2017,1001,UMC,7,2,0,383,2,1.0
7-9-2017,1001,WKZ,8,0,0,385,0,0
8-9-2017,1001,Centraal Station,0,0,4,371,0,0
8-9-2017,1001,Vaartsche Rijn,2,1,0,377,4,0.25
8-9-2017,1001,Galgenwaard,3,1,0,378,3,0.3333333333333333
8-9-2017,1001,Kromme Rijn,4,1,0,380,2,0.5
8-9-2017,1001,Padualaan,5,0,0,382,1,0.0
8-9-2017,1001,Heidelberglaan,6,0,0,383,1,0.0
8-9-2017,1001,UMC,7,1,0,384,1,1.0
8-9-2017,1001,WKZ,8,0,0,386,0,0
11-9-2017,1001,Centraal Station,0,0,4,370,0,0
11-9-2017,1001,Vaartsche Rijn,2,1,0,376,4,0.25
11-9-2017,1001,Galgenwaard,3,0,0,377,3,0.0
11-9-2017,1001,Kromme Rijn,4,1,0,379,3,0.3333333333333333
11-9-2017,1001,Padualaan,5,0,0,380,2,0.0
11-9-2017,1001,Heidelberglaan,6,0,0,381,2,0.0
11-9-2017,1001,UMC,7,2,0,383,2,1.0
11-9-2017,1001,WKZ,8,0,0,384,0,0
